,text,Airline,prediction
37,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
38,@AmericanAir AA1192 today. BDL-LAX seemed like entertainment system was down in whole first class cabin for whole f… https://t.co/FwORAzIU1H,Americanair,negative
39,"Rachel: .@AmericanAir doesn't care that they are making an enemy out of families. Crazy, bc according to them, ""everyone travels w kids"".",Americanair,negative
40,"Sarah: ""I chose .@JetBlue over .@AmericanAir for my last domestic trip because of this."" #notfamilyfriendly #inaccessible #travelingwithkids",Americanair,negative
41,"Sarah: ""@AmericanAir charges more for the privilege of selecting your seat. This is terrible for families.""",Americanair,negative
42,"@AmericanAir the flight attend made me stow iPad for landing b/c it ""has a keypad"". Travel weekly. Never had to stow. Is this new? #AA1164",Americanair,negative
43,5 days 'til @AmericanAir flies a charter w/ 25 #MedalofHonor recipients to DC for Medal of Honor Day (check out fro… https://t.co/2lqXFHGs7G,Americanair,negative
44,@AmericanAir I have a question about my seats on upcoming flight.,Americanair,negative
45,"@AmericanAir I'm DREAMING of going to BCN or TLV. I'll take you there, I promise <U+2764><U+FE0F>",Americanair,negative
46,@AmericanAir after waiting for 25 mins... plus I got moved back to group 8. This wouldn't have happened if you didn't mess up first off,Americanair,negative
47,"Marissa: ""We've flown @Delta about 20 times with my son and always had early boarding.""
.@AmericanAir",Americanair,negative
48,RT @AmericanAir: @MissSaintXXX Waiting on the tarmac is what we try hard to avoid and we're sorry for the extra time after arrival.,Americanair,negative
49,"@AmericanAir Is this the ""extra"" legroom I paid for? My bag doesn't even fit bec of the metal blocks &amp; there's bare… https://t.co/CrsgFY2Ux5",Americanair,negative
50,"Clarissa: ""We flew @Delta this week and they announce early boarding for parents with babies and strollers and cars seats.""
.@AmericanAir",Americanair,negative
51,"@AmericanAir I'll never fly with you again.  I will do everything I can to avoid flying with you in the future.  Won't comp my hotel, sad!!",Americanair,negative
52,@AmericanAir Because that's why I buy plane tickets. Because I like the bus.,Americanair,negative
53,"@JetBlue beat @AlaskaAir, @Delta, and @AmericanAir to having plugs that can power an @Alienware laptop.",Americanair,positive
54,"Randi: ""We only fly @Delta and they always let kids on early.""
.@AmericanAir",Americanair,negative
55,@AmericanAir I joined Twitter to tell people how bad you are! Second time missing a connecting flight in LA but somehow isn't your fault!,Americanair,negative
56,Oh look @AmericanAir yet another glorious view from your window seat! Good thing we can ask for WINDOW SEATS when b… https://t.co/cAqccAfZOc,Americanair,negative
57,RT @RandyStillinger: World War II veterans get a hero's welcome by the #AATeam upon arrival on @AmericanAir #SoaringValor charter flight wi…,Americanair,negative
58,Rebecca: @Delta gave us a coloring book at the gate and the TSA agents gave them stickers after we went through security! @AmericanAir,Americanair,negative
59,RT @RandyStillinger: Thanx @GarySinise 4 stopping by @AmericanAir &amp; visiting with our #AATeam the other day. Your support for our military…,Americanair,negative
60,@AmericanAir @pvm classic social media response,Americanair,negative
61,@AmericanAir how do I go about getting priority boarding on new tix since i paid for it and money back for paying for good seats?,Americanair,negative
62,Tracy: Letting kids on first makes it easier for ALL passengers. @AmericanAir is intentionally making their service worse for a few more $.,Americanair,negative
63,"@AmericanAir Stuck in LA without my bag, without my fiancé's bag, without a reasonable way home, and no place to stay.  Never again!!",Americanair,negative
64,RT @TGCDiary: The Founder &amp; CEO of @WomenThatSoar Gina Grant on #tapthemicradio w/ @gailstorm2 ! Airing 3/23 &amp; 3/25 @AmericanAir @LatinConn…,Americanair,neutral
65,At LAS with a colleague waiting for our golf clubs because they missed our flight. Might not make our tee time. Unacceptable @AmericanAir,Americanair,negative
66,@AmericanAir I'm also going to start following everyone who follows you on twitter. And tweet at you every day. Every. Day.,Americanair,negative
67,"Siobhan: ""The worst, @AmericanAir. And no, everyone does not [travel w kids]. In fact, most people do not have a clue how hard it is.""",Americanair,negative
68,Hey @Delta you're literally the worst. You're worse than @AmericanAir and that's pretty awful.,Americanair,negative
69,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
70,RT @AirfareSpot: Summer! #Washington to #Miami and vice versa for $132 R/T nonstop [@AmericanAir] https://t.co/cxEJRsSBIV,Americanair,neutral
71,@AmericanAir I am going to call your customer service team everyday until you've spent more than $300 responding to me. Every. Day.,Americanair,negative
72,"Aubrey: ""@AmericanAir is the absolute worst.""
- Mom to a 3 yo",Americanair,negative
73,"Natalie: ""@AmericanAir is the WORST when traveling with kids.""",Americanair,negative
74,@AmericanAir I'm not Ralph ;) That's your awesome flight attendant.,Americanair,negative
75,"Catherine: ""Our son is 4 and on our last trip the @Delta agent even called us over to do so!"" @AmericanAir",Americanair,negative
76,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
77,"Catherine: ""That's terrible, @AmericanAir! We travel on @Delta a lot and they ALWAYS let us pre-board.""",Americanair,negative
78,"@AmericanAir you're still in terminal 4, so what changed?",Americanair,neutral
79,@AmericanAir 5 am departure from AMA cancelled last minute for mechanical they knew about night before. Could have been handled better.,Americanair,negative
80,@AmericanAir can you please take a look at my DM for my flight in 3 hours?,Americanair,negative
81,"Diana: ""I boycott @AmericanAir. Don't fly with them with kids.""",Americanair,negative
82,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
83,"@AmericanAir When your solution to a canceled flight involves A BUS, something has gone wrong in your business plan.",Americanair,negative
84,@AmericanAir y u keep delaying my flight? Cuttin it close to on my connection... #ttot #travel #,Americanair,negative
85,"@AmericanAir if I'm arriving back from Paris (J Class) and transiting through DFW, what lounge will I had access to? Just the normal AC?",Americanair,negative
86,"Danielle: @AmericanAir, I was 6 mo pregnant, flying alone with a 12 mo old plus her car seat. One of the last people to board. So stressful!",Americanair,negative
87,@AmericanAir BTW a refund won't make my trip better I'm so glad this is my final round trip with AA!! Anything else will be better..,Americanair,negative
88,@AmericanAir @British_Airways you say you value your Gold card members but I've been treated like trash... repeatedly,Americanair,negative
89,"@AmericanAir I've had had flights dayed for before by as much 3 hours with various airlines. But, yesterday flight 167 was late by 7 hours!",Americanair,negative
90,Again.@AmericanAir is trash and has rude check-in and @British_Airways is following a close second. Thanks for loosing my bags yet again.,Americanair,negative
91,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
92,"If you don't give priority to ppl w children, @AmericanAir, DO NOT belittle the task as if it's an easy thing everyone does! #flyingwithkids",Americanair,negative
93,"@AmericanAir so now you change plane types and I loose my extra leg room that I paid extra for. Unreal, how AA treats their passengers!!",Americanair,negative
94,@AmericanAir us either. You'll have 8 or us in July HI bound!,Americanair,negative
95,@AmericanAir sent you a DM regarding a flight in 3 hours,Americanair,negative
96,RT @SBSwags: @AmericanAir please do!   She was amazing!,Americanair,positive
97,"Michelle: Of course I said, ""Really? We all travel alone w 2 children?"" 
And @AmericanAir retorted w ""Yes."" 
Ridiculous!!!! #inaccessible",Americanair,negative
98,RT @SBSwags: @AmericanAir amazing flight attendant in first class on the way to Dallas from Nashville this morning!,Americanair,negative
99,@AmericanAir finally got back with a stock email that gave no answers. All I want is phone call with someone who can help. Too much to ask?,Americanair,negative
100,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
101,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
102,RT @RandyStillinger: Thanx @GarySinise 4 stopping by @AmericanAir &amp; visiting with our #AATeam the other day. Your support for our military…,Americanair,negative
103,RT @RandyStillinger: World War II veterans get a hero's welcome by the #AATeam upon arrival on @AmericanAir #SoaringValor charter flight wi…,Americanair,negative
104,"Michelle: @AmericanAir employee said no. Fine. But then, ""People pay to board early"" and as I was walking away, ""We all travel w children.""",Americanair,negative
105,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
106,"@AmericanAir If you simcerly want that, please train your gate agents appropriately.",Americanair,negative
107,@dimitrivegas @AmericanAir apparently they are not into bitly too much <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>,Americanair,negative
108,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
109,Went into this with an open mind and was not disappointed @AmericanAir @BarstoolBigCat https://t.co/yMhEYYJmn4,Americanair,negative
110,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,Americanair,neutral
111,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
112,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
113,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
114,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
115,"Y'all have the shittiest customer service, it's pretty sad how your employees speak to people. @AmericanAir",Americanair,negative
116,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,Americanair,neutral
117,RT @UPSTANDMovement: @AmericanAir is NOT a family friendly airline. Ready to hear why not? Let's go.,Americanair,negative
118,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
119,@AmericanAir is NOT a family friendly airline. Ready to hear why not? Let's go.,Americanair,negative
120,@MissSaintXXX @AmericanAir I'm on a 7hr layover at JFK if that is any consolation,Americanair,negative
121,@RichardGarriott on @AmericanAir magazine https://t.co/M8V493q7X4,Americanair,neutral
122,@AmericanAir wish u could make my AA#558 PHX to MCO wait few mins delayed inbound AA#5879 arrives from BUR. I need to make connection <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,Americanair,negative
123,@MissSaintXXX @AmericanAir Flying is the worst!!  Give me trains or car roadies all the time!!,Americanair,negative
124,RT @OpenFairSkies: Letter signed by @AmericanAir @Delta @United @WeAreALPA @AlliedPilots @swapapilots @APFAunity @afa_cwa asks @POTUS to pr…,Americanair,negative
125,Established career path - McAir Aviation student to @envoyaircareers pilot to @AmericanAir pilot.  Envoy Cadet Prog… https://t.co/5aYE6mTs90,Americanair,negative
126,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
127,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
128,RT @grondinkillian: Thank you @AmericanAir for treating me like crap and making me miss my flight. Can't wait to write reviews,Americanair,negative
129,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
130,RT @AmericanAir: Just chillin' <U+2744><U+FE0F> https://t.co/1DIt5gztB3,Americanair,neutral
131,"Looking forward to another great flight on @AmericanAir . They take great care of me. Give them a chance, and they'll show you too!",Americanair,negative
132,RT @MissSaintXXX: I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,Americanair,negative
133,@dimitrivegas @AmericanAir These only happen in Mexico <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Americanair,neutral
134,@AmericanAir crew were fine otherwise and it was a great but quick flight.,Americanair,negative
135,RT @iamivanxxx: 3 flights on @AmericanAir all delayed with 2 of them having us sit on the tarmac over an hour. Causing people 2 miss their…,Americanair,negative
136,@AmericanAir stepping up and feeding passengers after long delay Chicago to Phoenix.  Nice job https://t.co/fTuJMcWlRj,Americanair,negative
137,@AmericanAir Big fail. On an Biz award. Told no space made available so in coach on 1244 yet 4 Spirit FA's get reseated up front &amp; a pilot,Americanair,negative
138,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
139,RT @iamivanxxx: @MissSaintXXX @AmericanAir pathetic as usual. Their poor pilots just keep apologizing for the airline's screwups,Americanair,negative
140,RT @MissSaintXXX: I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,Americanair,negative
141,@MissSaintXXX @AmericanAir that sucks. at least you are back in LA!!,Americanair,negative
142,@MissSaintXXX @AmericanAir You're grounded!....sorry. #badjokeisbad,Americanair,neutral
143,"RT @Panthers: Big thanks to @AmericanAir for sending our squad to Germany for the @the_USO tour! 

<ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>: https://t.co/ChC97YI9zU https://t.co/…",Americanair,negative
144,@MissSaintXXX @AmericanAir pathetic as usual. Their poor pilots just keep apologizing for the airline's screwups,Americanair,negative
145,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,Americanair,neutral
146,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
147,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
148,No one ever fly @AmericanAir the worst experience of my life I was supposed to be home over 24 hours ago,Americanair,negative
149,RT @MissSaintXXX: I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,Americanair,negative
150,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
151,I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,Americanair,negative
152,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
153,@miffSC @AmericanAir You coming through ORD?,Americanair,neutral
154,Thank you @AmericanAir for treating me like crap and making me miss my flight. Can't wait to write reviews,Americanair,negative
155,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
156,3 flights on @AmericanAir all delayed with 2 of them having us sit on the tarmac over an hour. Causing people 2 miss their flights and plans,Americanair,negative
157,"RT @greennomad61: &gt;@AmericanAir REALLY? #Discrimination against #Blind ppl = Discrimination agst #GuideDog 
This is beyond wrong #News http…",Americanair,negative
158,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
159,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
160,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
161,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,Americanair,neutral
162,"@AmericanAir = rude, unprofessional, inconsiderate, bitter, and a true detriment to flying.",Americanair,negative
163,A to Z - Manchester in American Way for @AmericanAir #WeAreTravelMedia https://t.co/I877TL7sXF https://t.co/pwAfsLjunV,Americanair,neutral
164,@AmericanAir this isn't the first trip where I've had this problem with your company! I always select my seats at the time of purchase,Americanair,negative
165,@AmericanAir more problems thanks for canceling my return w/o telling me! Didn't find out til late and now I'm bumped to the very back grp 8,Americanair,negative
166,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
167,@AmericanAir I hope you're right. Looks like 1st class is full. At least I've got a great premium seat :) thanks for the good vibes though.,Americanair,negative
168,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
169,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
170,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
171,@AmericanAir for a brief moment we moved nope still on the runway LAX American get it together #failure,Americanair,negative
172,"RT @Panthers: Big thanks to @AmericanAir for sending our squad to Germany for the @the_USO tour! 

<ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>: https://t.co/ChC97YI9zU https://t.co/…",Americanair,negative
173,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
174,@AmericanAir I pre-reserved seats on my flights from RNO to HSV and selected them for my return flight! Both times I was asked to re-select,Americanair,negative
175,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
176,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
177,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
178,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
179,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
180,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
181,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
182,Maybe @Delta or @AmericanAir will offer me a flight voucher since @united &amp; @AirCanada don't when they lose my carryon ? #incentive,Americanair,negative
183,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
184,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
185,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
186,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
187,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
188,For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
189,"@AmericanAir please take as real feedback. When the lane is closed, change the monitor. Several ppl stood here wait… https://t.co/eaHRoMNMtT",Americanair,negative
190,@AmericanAir just booked our big summer trip to HI! The EXP desk was great helping out. Can't wait!,Americanair,negative
191,@americanair can you explain why a plane sits on the runway for 20min after a 4hr flt.  Good thing we pay Xtra for leg room. #fail,Americanair,negative
192,Currently sitting here hour 6 of our delay from Phil to San Juan 3 day vacation ruined. Thanks @AmericanAir,Americanair,negative
193,Why are we on the tarmac again for over an hour @AmericanAir ? Who schedules your flights that every single time we get delays.,Americanair,negative
194,@AmericanAir Bought at airport b/c transax thru your call-in cntr had some sort of glitch. Was not my choice 2 purchase thru tix agent,Americanair,negative
195,Been sitting on the tarmac @flyLAXairport longer than the flight from Vegas... #logistics @AmericanAir #said5minutes #stillwaiting,Americanair,negative
196,@kc_joe @AmericanAir @SouthwestAir over an hour with the cust Serv counter and they got us the flights we needed.  Too bad phone CS couldn't,Americanair,negative
197,"Hey @AmericanAir, as I expected @Delta economy comfort is nicer than the ""first"" I flew in to Vegas on Wednesday.",Americanair,negative
198,@AmericanAir thank you for Susan on just finished flight 4498 to DCA. She was wonderful.,Americanair,negative
199,"Passing thru @DFWAirport after @AmericanAir flight cancelled. More of this...
https://t.co/M6GG7oVwQf",Americanair,negative
200,"@AmericanAir now stuck in Phoenix, may or may not get home today.",Americanair,negative
201,@AmericanAir what happened to the priority security lane @flyLAXairport,Americanair,negative
202,"RT @SecretFlying: HOT!! Boston to Barbados for only $173 roundtrip with @AmericanAir.

https://t.co/zLWwcZ9Jyo https://t.co/5Z5jQiLHYu",Americanair,neutral
203,@AmericanAir need help! On Friday you canceled a flight during your re-booking process you canceled the returned portion of the ticket.,Americanair,negative
204,I just entered for a chance to win a $5K @AmericanAir Vacations package. No purch. nec. #sweepstakes Enter at: https://t.co/ED1qKvM36X,Americanair,negative
205,@AmericanAir flight 1994 leaving PHL for ORD just had he longest and worst executed boarding process I've ever seen.. no hyperbole. #Flying,Americanair,negative
206,@AmericanAir or im too irrelevant,Americanair,negative
207,@americanair can a nigga get suspended?,Americanair,negative
208,@AmericanAir is the worst airline in the entire world.  It should not have the word America in it.  This is why I fly @Delta. Figure it out,Americanair,negative
