,text,Airline,prediction
36, win great prizes from @DK_Travel @AirCanada @FairmontHotels https://t.co/Vf5q60kY…,en,positive
37,"@AirCanada Hi-I\'m flying today, just want to make sure my Star Alliance # is on file. Can you help?",AirCanada,negative
38,"Auto-bumped by @AirCanada off connecting flight w/ 3 kids.Rebooked with all middle seats. NO comp, no ""we\'re sorry"" #lasttimeflyingaircanada",AirCanada,negative
39,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
40,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
41,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
42,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
43,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
44, win great prizes from @DK_Travel @AirCanada @FairmontHotels… https://t.co/YPZcBX9gLs,en,positive
45,@AirCanada I also did not purchase anything while traveling and wasn\'t over the weight limit in YYZ- how am I suddenly over weight?!,AirCanada,negative
46,@AirCanada and how it jumps from $25 for a checked bag to $93 for a bag 10lbs over the limit is beyond me!?,AirCanada,negative
47, not comparable to other airlines... why does a Canadian pay USD to a CANADIAN airline?!,en,negative
48,Air Canada Being WIP... @AirCanada @ROBLX @RobloxDev https://t.co/lg3bQGclPU https://t.co/LdrwXHHXX0,AirCanada,neutral
49,"I remember why I don\'t fly @AirCanada 2 people flying, 1 bag (weighs less than the allowance for 2 bags) charged $93USD #wontflyACagain",AirCanada,negative
50,@AirCanada  - I ❤️ you but...this is 3/4 check-ins in three weeks that bag drop off is a gong show!!!  PLEASE get it together!!!!,AirCanada,negative
51, Vacation Show today &amp,"Director, Revenue Management & Business Development - Asia @AirCanada / “Tweets are my own”",negative
52,Highly disappointing first family travel experience with @AirCanada,AirCanada,negative
53,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
54,Jesus  Christ. @AirCanada you need to open more then one counter at San Juan Airport. Get real. One staff helping the whole plane.,AirCanada,negative
55,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
56,@AirCanada thanks to JB for the great customer service today!,AirCanada,positive
57,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
58,"RT @rockylo4: Great evening last night @AirCanada / JNTO ""Explore #Japan night"" @MarkhamEventCtr #Toronto @AirCanada offer the most daily f…",AirCanada,negative
59,Road trip season is almost upon us 🚙 @aircanada  @enroutemag ••••••#yyc #alberta… https://t.co/5bZITGchoq,AirCanada,negative
60,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
61,"RT @SecretFlying: Washington DC/Baltimore to Budapest, Hungary for only $425 roundtrip with @AirCanadahttps://t.co/npDz4p0S2R https://t.c…",AirCanada,neutral
62,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
63,"RT @SecretFlying: Washington DC/Baltimore to Budapest, Hungary for only $425 roundtrip with @AirCanadahttps://t.co/npDz4p0S2R https://t.c…",AirCanada,neutral
64,"RT @SecretFlying: Washington DC/Baltimore to Budapest, Hungary for only $425 roundtrip with @AirCanadahttps://t.co/npDz4p0S2R https://t.c…",AirCanada,neutral
65,@AirCanada Why are your flights from England so expensive ?  A one way is $1900 ($1300 more than WestJet),AirCanada,negative
66,"RT @SecretFlying: Washington DC/Baltimore to Budapest, Hungary for only $425 roundtrip with @AirCanadahttps://t.co/npDz4p0S2R https://t.c…",AirCanada,neutral
67,"Washington DC/Baltimore to Budapest, Hungary for only $425 roundtrip with @AirCanadahttps://t.co/npDz4p0S2R https://t.co/nGgCkAtkmD",AirCanada,neutral
68, Vacation Show. Promoting travel to #Japan. Come say hi and learn about Japan. We… https://t.co/KEN7ywWYnf,en,negative
69,RT @efitz_edtech: Sitting on an @AirCanada flight and the students in the row are all working on @Google Docs on their devices.  #edtechtea…,AirCanada,negative
70,RT @mlysakow: Another stop and another @aircanada lounge. My first time in this one. It\'s nice but I do miss… https://t.co/Xam3alRqGu,AirCanada,negative
71,RT @efitz_edtech: Sitting on an @AirCanada flight and the students in the row are all working on @Google Docs on their devices.  #edtechtea…,AirCanada,negative
72,Another stop and another @aircanada lounge. My first time in this one. It\'s nice but I do miss… https://t.co/Xam3alRqGu,AirCanada,negative
73,RT @efitz_edtech: Sitting on an @AirCanada flight and the students in the row are all working on @Google Docs on their devices.  #edtechtea…,AirCanada,negative
74,@AirCanada is hands down the WORST airline i have ever flown in my life my god,AirCanada,negative
75,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
76,RT @MarkDumschat: Super unimpressed with you @AirCanada I missed my flight in San Francisco so you put me up in Oakland? #FAIL,AirCanada,negative
77,@AirCanada *dm* not do,AirCanada,neutral
78,@AirCanada I can do my booking code if that helps,AirCanada,negative
79,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
80,@AirCanada no text or email either,AirCanada,negative
81,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
82,"@AirCanada it did ask and I set up my phone, but no qr code and options for wallet as before",AirCanada,negative
83,.@BonVoyageurs please share all the experiences and pictures you know we are Canada\'s fans ! @AirCanada https://t.co/WiVA4WY8Rd,AirCanada,negative
84,"RT @SecretFlying: CRAZY HOT!! Toronto, Canada to Costa Rica for only $154 CAD roundtrip with @AirCanadahttps://t.co/Qu4J8I8Vix https://t.…",AirCanada,negative
85,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
86,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
87,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
88,"RT @SecretFlying: Philadelphia to Barcelona or Madrid, Spain from only $393 roundtrip (or summer for $460) with @AirCanadahttps://t.co/qP…",AirCanada,neutral
89,@mrboeing777x @flightradar24 @TomPodolec @AirCanada @tattuinee @YFBSpotters @BonzBrooks thank you,AirCanada,positive
90,"RT @SecretFlying: Philadelphia to Barcelona or Madrid, Spain from only $393 roundtrip (or summer for $460) with @AirCanadahttps://t.co/qP…",AirCanada,neutral
91,"RT @SecretFlying: Philadelphia to Barcelona or Madrid, Spain from only $393 roundtrip (or summer for $460) with @AirCanadahttps://t.co/qP…",AirCanada,neutral
92,@DrJohnAquino @smootholdfart @AirCanada . Those parents too! Have flown dozens of times with my infants and had consideration to clean up!,AirCanada,negative
93,"RT @SecretFlying: Philadelphia to Barcelona or Madrid, Spain from only $393 roundtrip (or summer for $460) with @AirCanadahttps://t.co/qP…",AirCanada,neutral
94,"Philadelphia to Barcelona or Madrid, Spain from only $393 roundtrip (or summer for $460) with @AirCanada… https://t.co/DLX6iQNi8H",AirCanada,neutral
95,@AirCanada your customer service sucks. I cannot believe how rude your staff have been. Think you need to invest in some training!!!,AirCanada,negative
96,I forgot a drawing tube at YVR Maple Leaf Lounge @AirCanada last night (jet lag!) Is it possible to contact a lounge manager to retrieve?,AirCanada,negative
97,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
98,@AirCanada how do I get my boarding pass on wallet app or even in text?  Checked in on ur app -don\'t like update Set up all notifi too. Help,AirCanada,negative
99,RT @DrJohnAquino: Complimentary used diapers on @AirCanada. Good job cleaning the plane. #FrickinGross https://t.co/eDvAH7BtgG,AirCanada,negative
100,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
101,RT @deborah_hopwood: If I could fly to anywhere in the @AirCanada network I would choose LYS #AC2THEWORLD PIN #17 Lisa Catania https://t.co…,AirCanada,negative
102, @AirCanadahttps://t.co/VKk9Nf9Nw6 https://t.co/LGiQjV5NH3,en,neutral
103,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
104,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
105,Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports… https://t.co/4hgc0qytX9,AirCanada,negative
106,Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports… https://t.co/9F3rhZLgbJ,AirCanada,negative
107,@flightradar24 @TomPodolec @AirCanada @tattuinee @YFBSpotters @BonzBrooks is it still on the ground?,AirCanada,neutral
108,I always enjoy finding touches of home around the world. Thanks @aircanada for having a lounge… https://t.co/vqBI81NPNk,AirCanada,negative
109,@AirCanada is there a problem with your website? Trying to book flights and keep getting an error message,AirCanada,negative
110,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
111,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
112,"One of my pet peeves is # of just barely legal large luggage people take on planes. Put down below. Less stress,  less cramped. @AirCanada",AirCanada,negative
113, @AirCanadahttps://t.co/VKk9Nf9Nw6 https://t.co/LGiQjV5NH3,en,neutral
114, @AirCanadahttps://t.co/VKk9Nf9Nw6 https://t.co/LGiQjV5NH3,en,neutral
115, @AirCanadahttps://t.co/VKk9Nf9Nw6 https://t.co/LGiQjV5NH3,en,neutral
116, @AirCanadahttps://t.co/VKk9Nf9Nw6 https://t.co/LGiQjV5NH3,en,neutral
117,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
118,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
119,pb de langue @AirCanada captain said we missed the time for take off.  #AC835,AirCanada,negative
120,"RT @rockylo4: Great evening last night @AirCanada / JNTO ""Explore #Japan night"" @MarkhamEventCtr #Toronto @AirCanada offer the most daily f…",AirCanada,negative
121,"RT @rockylo4: @AirCanada Asia Sales team is @MarkhamEventCtr #Toronto ready to welcome our agency partners for the AC/JNTO co-host ""Explore…",AirCanada,negative
122,RT @DrJohnAquino: Complimentary used diapers on @AirCanada. Good job cleaning the plane. #FrickinGross https://t.co/eDvAH7BtgG,AirCanada,negative
123,@AirCanada would be nice to get an update on delay of AC881 since the pilot won\'t give us one. #missedconnection,AirCanada,negative
124, @Delta f… https://t.co/d8m1zI3WHC,en,neutral
125,"@AirCanada , my baggage from AC8754 wasn\'t given to AM for my AM637 flight to MEX at YUL last night.",AirCanada,negative
126,Beautiful new @AirCanada #Boeing787 #Dreamliner @HeathrowAirport @Train_PlaneHub #planepics #avgeek @andrewrtw https://t.co/Maoarmb85y,AirCanada,negative
127,@sig225 @AirCanada rebranding at its best 😩,AirCanada,neutral
130,@DrJohnAquino @AirCanada yet another reason to avoid traveling with Air Canada.  Aftery last 3 flights were overbooked,AirCanada,positive
131,Love @AirCanada CONCIERGE! Went out of their way to make sure I made a short connection in YYZ! @ACAltitude,AirCanada,positive
132,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
133,Hey @AirCanada I left a hat on flight #003 in Narita any chance of getting it back?,AirCanada,negative
134,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
135,"RT @rockylo4: Great evening last night @AirCanada / JNTO ""Explore #Japan night"" @MarkhamEventCtr #Toronto @AirCanada offer the most daily f…",AirCanada,negative
136,@AmexCanada cancelled my return reservation with @cathaypacific prem economy by mistake and gave us @AirCanada prem economy 1/2,AirCanada,negative
137,Complimentary used diapers on @AirCanada. Good job cleaning the plane. #FrickinGross https://t.co/eDvAH7BtgG,AirCanada,negative
138,@Enterprise our suitcases all the way to the @AirCanada check-in at YYC! He didn\'t even have to! Bravo! (2/2),AirCanada,negative
139,"While @AirCanada has been a nightmare last 24 hrs, @Enterprise has been spectacular. An @Enterprise fella on his break helped take (1/2)",AirCanada,negative
140,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
141, \'loss of oil pressure\'. Emergency services called as prec…,en,negative
142,"RT @rockylo4: The Yosakoi Dance group is dancing  @AirCanada / JNTO ""Explore #Japan night"" with our agency partners @MarkhamEventCtr #Toron…",AirCanada,negative
143,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
144,"@AirCanada sounds good, sent over the details. Thanks, Martin",AirCanada,negative
145,"@AirCanada and your team rebooked me in economy instead of business. Could you sort it out, I can PM details.",AirCanada,negative
146,@AirCanada it does not seem like it. I just missed another flight I could have been on because AC did not reissue the ticket yet,AirCanada,positive
147,@AirCanada your flight is late on arrival and I am stuck in Frankfurt because of slow rebooking for my connection to Europe.,AirCanada,negative
148,@AirCanada okay No problem thanks for the help,AirCanada,negative
149,@AirCanada 15th May is the date which I want to book should I be able to get the Bassinet,AirCanada,negative
150,@AirCanada Is Bassinet provided by the above flight And what r chances 2 get them? An procedure? Shld I book it rite at the tickets booking?,AirCanada,negative
151,@AirCanada  Is Bassinet provided by the above flight And what are chances to get them? And procedure?,AirCanada,negative
152,@AirCanada Not getting Proper answer from Ground Staff they are also not Clear about it,AirCanada,negative
153,@AirCanada hi need help for what are the Facility\'s for the kid of 6 to Months in the Flight 787-9 Time12:10am DEL- Arri at Toronto @ 5:00am,AirCanada,negative
154,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
155,RT @Jetstreamedia: .@AirCanada #Jazz Q-100 takeoff out of @london_airport. Always a fun being out there. #CYXU #YXU #AVGEEK https://t.co/mS…,AirCanada,negative
156,@AirCanada one day #hopeful,AirCanada,negative
157,RT @spectacularNWT: Looking for more #NWTSecrets? Here\'s a big one -- we\'re giving away 150 trips to #SpectacularNWT w/ @AirCanada! https:/…,AirCanada,negative
158,Wheels down SFO on @AirCanada 739.,AirCanada,neutral
159,@AirCanada I planned my vacation. Please plan your company and schedule,AirCanada,negative
160,@AirCanada Now family not sitting together.,AirCanada,neutral
161,@AirCanada My family had a 630AM flight.  12 hour delay before cancellation,AirCanada,negative
162,Can always count on @AirCanada to be the slowest airline getting your checked luggage to you.😑,AirCanada,negative
163,@AirCanada I called that number.  Said the call customer relations - but no number?  TS me \'No one to help you\',AirCanada,negative
164,@AirCanada #aircanada  AC569 delayed earlier tonight.  Merging flights.  Where are your agents?,AirCanada,negative
165,@AirCanada #aircanada #flight delay,AirCanada,negative
166,RT @DeltaLibrarian: #aircanada @AirCanada  where are your agents?  AC561 cancelled after a 12 hour delay,AirCanada,negative
167,#aircanada @AirCanada  where are your agents?  AC561 cancelled after a 12 hour delay,AirCanada,negative
168,Now accepting suggestions on how to implore my way onto a flight to MSP tonight rather than spent the night at a YYZ hotel. @AirCanada,AirCanada,negative
169,"@AirCanada &amp; @flyeia Up 24 hours, travelling for 18 hours b/c AC axed direct UK flights now walkway @ YEG not working. Going to another gate",AirCanada,negative
170,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
171,Unexpected overnight at YHZ   But thanks @AirCanada for the top notch service in making the inconvenience as easy to manage as possible 👍🏻,AirCanada,negative
172,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
173,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
174,@the_beans @WestJet @AirCanada The punchline to this joke of a poor response is that I used my Westjet MC to buy the Air Canada tickets...,AirCanada,negative
175,@AirCanada wow...No response at all eh? I would have expected at least an offer of assistance. @ReneeChardonnay,AirCanada,negative
176,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
177,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
178,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
179,"RT @SecretFlying: CRAZY HOT!! San Francisco to Barcelona, Spain for only $305 roundtrip with @AirCanadahttps://t.co/6AwOBV7e2i https://t.…",AirCanada,negative
180,"RT @SecretFlying: CRAZY HOT!! Toronto, Canada to Costa Rica for only $154 CAD roundtrip with @AirCanadahttps://t.co/Qu4J8I8Vix https://t.…",AirCanada,negative
181,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
182,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
183,7/7 not angry but just a little frustrated and disappointed that the CS of @aircanada hasn\'t done more to provide for guests. #MyDayOutAtMCO,AirCanada,negative
184,".@AirCanadaRouge @AirCanada New schedule is to land at YYZ at 04:00, no accommodation or Ground Transportation provided.  #MyDayOutAtMCO 6/7",AirCanada,negative
185, \'loss of oil pressure\'. Emergency services called as prec…,en,negative
186,". @AirCanadaRouge @AirCanada It\'s also valid on the flight but there\'ll likely be no food for sale, this is no guarantee"" #MyDayOutAtMCO 5/7",AirCanada,negative
187,@vancitylibyan @AirCanada @WestJet what happened??,AirCanada,negative
188,. @AirCanadaRouge @AirCanada as everything here is closed. You can do that but it\'s a long process. #MyDayOutAtMCO 4/7,AirCanada,negative
189,". @AirCanadaRouge @AirCanada Then we have been told that the ""Food vouchers only valid outside security at this time . #MyDayOutAtMCO 3/7",AirCanada,neutral
190,.@AirCanadaRouge @AirCanada #AC1867 delayed just shy of 4 hours and we have been given food vouchers for $10 .... #MyDayOutAtMCO 2/7,AirCanada,negative
191,RT @22_Minutes: Get your bid on: @AirCanada has auction fever. #flying #upgrade #aircanada #WestJet #auction #22minutes #FirstClass https:/…,AirCanada,negative
192,@AirCanada one simple flight from #toronto to #ysj and it\'s delayed for 2 hours waiting on staff. ?,AirCanada,negative
193,@AirCanada figured out the huge YVR-SJC tech market and is going 3x daily. Cmon @AlaskaAir I\'ve been wishing and asking for years! #GameOn,AirCanada,negative
194,&gt,199,negative
195,@SJMcIsaac @AirCanada There is a science to row assignment... I just don\'t know what it is. So frustrating.,AirCanada,negative
196,"RT @rockylo4: Great evening last night @AirCanada / JNTO ""Explore #Japan night"" @MarkhamEventCtr #Toronto @AirCanada offer the most daily f…",AirCanada,neutral
197,"RT @avachae: with service to #haneda #narita #osaka &amp; soon #nagoya, explore #japan w/ @AirCanada ! another great evening with our partner @…",AirCanada,negative
198,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
199,"RT @rockylo4: Great performance @SakuramaiTO Dance Group last night @AirCanada / JNTO ""Explore #Japan Night"" . #YVR - #Nagoya new route beg…",AirCanada,negative
200,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
201, \'loss of oil pressure\'. Emergency services called as prec…,en,negative
202,@AirCanada I\'ve been stewing on this for a week to try and calm down about it. Will it actually be responded to??,AirCanada,negative
203,RT @yulplanespotter: An @AirCanada @BoeingAirplanes #B777 turning the corner.. Gotta love #YULLook how close we can get :D https://t.co/87…,AirCanada,negative
204, flight horrible. Plane dirty &amp,"I love traveling, hiking, reading and having fun with family and friends.",negative
205,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
206,"RT @SandyH_CA: Arrived @ #Montreal airport, checked in➡️security in 10 mins! Thanks to the super nice @AirCanada Priority check-in lady @ #…",AirCanada,negative
207, \'loss of oil pressure\'. Emergency services called as prec…,en,negative
208, \'loss of oil pressure\'. Emergency services called… https://t.co/TZVV65YD9w,en,negative
209,"All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! #club1909… https://t.co/cknwqMKuEd",AirCanada,negative
210,@AirCanada do you take complaints about staff on a flight or is it disregarded because they are part of a union?,AirCanada,negative
211,"@AirCanada We are USB Flash Drive manufacture, for more details, please contact me on What\'s App: +86 134 2441 1967… https://t.co/OUlAcHp9MC",AirCanada,negative
212,"The #HoliGala raffle winners accepting their prizes from donors #TheHostCatering, @MBBrampton &amp; @AirCanada! https://t.co/JiKmqc4RB3",AirCanada,negative
213, striking landscapes of our great nation #FlyTheFlag https://t…,en,negative
214,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
215,Oh @AirCanada .  I check a bag once or twice a year and wait forever in YHZ. Yet again priority bags come out LAST.,AirCanada,positive
216,"RT @CanadiensMTL: All the way from Germany, Destination Challenge winner Marcel is visiting Montreal thanks to @aircanada! https://t.co/oJg…",AirCanada,negative
